pollster,sample,sample_2,candidate,points,poll_start,poll_end
C+Change Research,1420,Likely Voters,gabbard,1,2019-06-06,2019-06-10
A-Quinnipiac University,454,Registered Voters,inslee,0,2019-06-06,2019-06-10
C+Change Research,2968,Likely Voters,warren,7,2019-06-06,2019-06-10
C+HarrisX,740,Registered Voters,hickenlooper,1,2019-06-06,2019-06-10
A-Quinnipiac University,419,Registered Voters,o_rourke,5,2019-06-06,2019-06-10
C+Harris Interactive,459,Registered Voters,booker,3,2019-06-06,2019-06-10
C+Harris Interactive,346,Registered Voters,o_rourke,4,2019-06-06,2019-06-10
B-Morning Consult,12560,Likely Voters,mc_auliffe,0,2019-06-06,2019-06-10
B+Emerson College,429,Likely Voters,moulton,1,2019-06-06,2019-06-10
B-Morning Consult,737,Registered Voters,sanders,16,2019-06-06,2019-06-10
B-Morning Consult,14250,Likely Voters,o_rourke,8,2019-06-06,2019-06-10
B+Emerson College,487,Likely Voters,hickenlooper,1,2019-06-06,2019-06-10
A-CNN/SSRS,463,Adults,booker,5,2019-06-06,2019-06-10
B-Morning Consult,674,Registered Voters,bloomberg,1,2019-06-06,2019-06-10
A-Quinnipiac University,503,Registered Voters,messam,0,2019-06-06,2019-06-10
C+HarrisX,370,Registered Voters,booker,6,2019-06-06,2019-06-10
A+Monmouth University,330,Registered Voters,o_rourke,4,2019-06-06,2019-06-10
B-Morning Consult,17012,Likely Voters,gabbard,1,2019-06-06,2019-06-10
C+HarrisX,881,Registered Voters,klobuchar,1,2019-06-06,2019-06-10
C+Change Research,2968,Likely Voters,mc_auliffe,0,2019-06-06,2019-06-10
A-CNN/SSRS,412,Registered Voters,bullock,0,2019-06-06,2019-06-10
A-Quinnipiac University,503,Registered Voters,delaney,0,2019-06-06,2019-06-10
Echelon Insights,447,Registered Voters,biden,65,2019-06-06,2019-06-10
C+HarrisX,448,Registered Voters,inslee,0,2019-06-06,2019-06-10
B-Morning Consult,11627,Likely Voters,gillibrand,1,2019-06-06,2019-06-10
B+Ipsos,2237,Adults,castro,1,2019-06-06,2019-06-10
B+Ipsos,2271,Registered Voters,williamson,0,2019-06-06,2019-06-10
C+Change Research,1919,Likely Voters,delaney,0,2019-06-06,2019-06-10
B-Morning Consult,17012,Likely Voters,yang,1,2019-06-06,2019-06-10
B+Ipsos,964,Registered Voters,bennet,1,2019-06-06,2019-06-10
B-Morning Consult,4749,Likely Voters,bullock,1,2019-06-06,2019-06-10
BYouGov,550,Adults,bennet,0,2019-06-06,2019-06-10
A-CNN/SSRS,424,Registered Voters,steyer,0,2019-06-06,2019-06-10
C+HarrisX,881,Registered Voters,o_rourke,3,2019-06-06,2019-06-10
Echelon Insights,499,Registered Voters,warren,3,2019-06-06,2019-06-10
C+Harris Interactive,346,Registered Voters,gabbard,0,2019-06-06,2019-06-10
C+Change Research,2968,Likely Voters,kennedy,5,2019-06-06,2019-06-10
B-Morning Consult,14250,Likely Voters,bloomberg,4,2019-06-06,2019-06-10
B+Emerson College,487,Likely Voters,castro,1,2019-06-06,2019-06-10
B-Morning Consult,11627,Likely Voters,delaney,0,2019-06-06,2019-06-10
B-Morning Consult,16368,Likely Voters,inslee,0,2019-06-06,2019-06-10
B+Ipsos,964,Registered Voters,harris,7,2019-06-06,2019-06-10
B-Morning Consult,706,Registered Voters,garcetti,1,2019-06-06,2019-06-10
A-CNN/SSRS,456,Adults,castro,1,2019-06-06,2019-06-10
B-Morning Consult,737,Registered Voters,o_rourke,5,2019-06-06,2019-06-10
C+Change Research,2518,Likely Voters,gillibrand,0,2019-06-06,2019-06-10
B+Emerson College,431,Likely Voters,klobuchar,5,2019-06-06,2019-06-10
A-CNN/SSRS,456,Adults,gillibrand,1,2019-06-06,2019-06-10
CZogby Interactive/JZ Analytics,410,Likely Voters,castro,0,2019-06-06,2019-06-10
C+Change Research,1420,Likely Voters,inslee,0,2019-06-06,2019-06-10
A-CNN/SSRS,424,Registered Voters,booker,6,2019-06-06,2019-06-10
C+Change Research,1919,Likely Voters,hickenlooper,1,2019-06-06,2019-06-10
A-CNN/SSRS,411,Registered Voters,harris,5,2019-06-06,2019-06-10
C+Harris Interactive,337,Registered Voters,booker,2,2019-06-06,2019-06-10
C-McLaughlin & Associates,468,Likely Voters,bloomberg,2,2019-06-06,2019-06-10
B-Morning Consult,12550,Likely Voters,harris,12,2019-06-06,2019-06-10
C+Change Research,2518,Likely Voters,inslee,1,2019-06-06,2019-06-10
B-Morning Consult,15383,Likely Voters,biden,30,2019-06-06,2019-06-10
CZogby Interactive/JZ Analytics,410,Likely Voters,o_rourke,4,2019-06-06,2019-06-10
A-Quinnipiac University,419,Registered Voters,ryan,0,2019-06-06,2019-06-10
CUSC Dornsife/LA Times,2196,Likely Voters,o_rourke,7,2019-06-06,2019-06-10
A-Quinnipiac University,503,Registered Voters,bullock,0,2019-06-06,2019-06-10
C+HarrisX,741,Registered Voters,buttigieg,5,2019-06-06,2019-06-10
B-Morning Consult,674,Registered Voters,hickenlooper,1,2019-06-06,2019-06-10
C+Change Research,2518,Likely Voters,yang,3,2019-06-06,2019-06-10
A+ABC News/Washington Post,447,Adults,klobuchar,1,2019-06-06,2019-06-10
CUSC Dornsife/LA Times,2196,Likely Voters,williamson,0,2019-06-06,2019-06-10
BYouGov,500,Registered Voters,gillibrand,0,2019-06-06,2019-06-10
AFox News,469,Likely Voters,swalwell,0,2019-06-06,2019-06-10
B+Emerson College,429,Likely Voters,klobuchar,1,2019-06-06,2019-06-10
B-Morning Consult,15383,Likely Voters,bullock,1,2019-06-06,2019-06-10
A-CNN/SSRS,456,Adults,sanders,20,2019-06-06,2019-06-10
A+Monmouth University,334,Registered Voters,ryan,0,2019-06-06,2019-06-10
A-Quinnipiac University,559,Registered Voters,castro,1,2019-06-06,2019-06-10
C+HarrisX,740,Registered Voters,gabbard,0,2019-06-06,2019-06-10
C+Change Research,2518,Likely Voters,williamson,1,2019-06-06,2019-06-10
C+Change Research,1919,Likely Voters,klobuchar,2,2019-06-06,2019-06-10
A+Monmouth University,313,Registered Voters,buttigieg,0,2019-06-06,2019-06-10
A+Monmouth University,310,Registered Voters,buttigieg,0,2019-06-06,2019-06-10
B+Emerson College,320,Likely Voters,brown,7,2019-06-06,2019-06-10
B-Morning Consult,15475,Likely Voters,moulton,0,2019-06-06,2019-06-10
C+HarrisX,740,Registered Voters,williamson,0,2019-06-06,2019-06-10
BGBAO,817,Likely Voters,castro,1,2019-06-06,2019-06-10
BYouGov,500,Registered Voters,bullock,1,2019-06-06,2019-06-10
B-Morning Consult,13644,Likely Voters,klobuchar,2,2019-06-06,2019-06-10
C+Harris Interactive,263,Registered Voters,biden,35,2019-06-06,2019-06-10
C-McLaughlin & Associates,360,Likely Voters,gillibrand,1,2019-06-06,2019-06-10
Echelon Insights,499,Registered Voters,sanders,22,2019-06-06,2019-06-10
B-Morning Consult,733,Registered Voters,sanders,19,2019-06-06,2019-06-10
B-Morning Consult,706,Registered Voters,harris,3,2019-06-06,2019-06-10
B+Emerson College,356,Likely Voters,castro,3,2019-06-06,2019-06-10
B+Ipsos,1132,Adults,messam,0,2019-06-06,2019-06-10
B+Emerson College,487,Likely Voters,harris,12,2019-06-06,2019-06-10
B-Morning Consult,14335,Likely Voters,hickenlooper,1,2019-06-06,2019-06-10
B-Morning Consult,16587,Likely Voters,inslee,1,2019-06-06,2019-06-10
B-Morning Consult,17012,Likely Voters,booker,3,2019-06-06,2019-06-10
C+Harris Interactive,273,Registered Voters,biden,26,2019-06-06,2019-06-10
B-Morning Consult,674,Registered Voters,sanders,15,2019-06-06,2019-06-10
B-Morning Consult,685,Registered Voters,brown,1,2019-06-06,2019-06-10
A+Monmouth University,310,Registered Voters,sanders,32,2019-06-06,2019-06-10
A-Quinnipiac University,503,Registered Voters,sanders,19,2019-06-06,2019-06-10
BGBAO,800,Likely Voters,hickenlooper,0,2019-06-06,2019-06-10
A+Monmouth University,334,Registered Voters,inslee,0,2019-06-06,2019-06-10
C+HarrisX,431,Registered Voters,castro,0,2019-06-06,2019-06-10
B-Morning Consult,737,Registered Voters,brown,2,2019-06-06,2019-06-10
A+Monmouth University,313,Registered Voters,booker,4,2019-06-06,2019-06-10
CUSC Dornsife/LA Times,1131,Likely Voters,gillibrand,0,2019-06-06,2019-06-10
B-Morning Consult,15226,Likely Voters,buttigieg,1,2019-06-06,2019-06-10
A+Monmouth University,334,Registered Voters,swalwell,0,2019-06-06,2019-06-10
AFox News,403,Likely Voters,warren,4,2019-06-06,2019-06-10
B-Morning Consult,15342,Likely Voters,o_rourke,5,2019-06-06,2019-06-10
C+HarrisX,448,Registered Voters,williamson,0,2019-06-06,2019-06-10
C+Harris Interactive,488,Registered Voters,avenatti,0,2019-06-06,2019-06-10
B-Morning Consult,14830,Likely Voters,delaney,1,2019-06-06,2019-06-10
AFox News,469,Likely Voters,klobuchar,2,2019-06-06,2019-06-10
B+Ipsos,2525,Adults,gillibrand,0,2019-06-06,2019-06-10
C+Harris Interactive,471,Registered Voters,klobuchar,0,2019-06-06,2019-06-10
A-Quinnipiac University,454,Registered Voters,biden,35,2019-06-06,2019-06-10
B+Ipsos,2237,Adults,gillibrand,1,2019-06-06,2019-06-10
B-Morning Consult,694,Registered Voters,mc_auliffe,0,2019-06-06,2019-06-10
B-Morning Consult,11627,Likely Voters,o_rourke,7,2019-06-06,2019-06-10
B-Morning Consult,15226,Likely Voters,castro,1,2019-06-06,2019-06-10
A-CNN/SSRS,412,Registered Voters,de_blasio,0,2019-06-06,2019-06-10
B+Emerson College,429,Likely Voters,ryan,0,2019-06-06,2019-06-10
C+Change Research,2968,Likely Voters,o_rourke,21,2019-06-06,2019-06-10
C-McLaughlin & Associates,468,Likely Voters,m_obama,16,2019-06-06,2019-06-10
B+Emerson College,429,Likely Voters,delaney,0,2019-06-06,2019-06-10
C+Change Research,1919,Likely Voters,klobuchar,3,2019-06-06,2019-06-10
A-Quinnipiac University,503,Registered Voters,swalwell,0,2019-06-06,2019-06-10
A-CNN/SSRS,411,Registered Voters,klobuchar,2,2019-06-06,2019-06-10
